1,2,1,2024-06-18 20:32:36,2024-06-18 20:32:36
2,3,2,2024-06-18 20:32:40,2024-06-18 20:32:40
3,3,3,2024-06-18 20:32:46,2024-06-18 20:32:46
4,2,5,2024-06-18 20:32:50,2024-06-18 20:32:50
5,4,6,2024-06-18 20:33:58,2024-06-18 20:33:58
6,3,7,2024-06-18 20:34:03,2024-06-18 20:34:03
7,4,8,2024-06-18 20:34:07,2024-06-18 20:34:07
8,4,10,2024-06-18 20:34:14,2024-06-18 20:34:14
9,5,11,2024-06-18 20:34:25,2024-06-18 20:34:25
10,5,14,2024-06-18 20:34:30,2024-06-18 20:34:30
11,6,12,2024-06-18 20:34:34,2024-06-18 20:34:34
12,6,13,2024-06-18 20:34:38,2024-06-18 20:34:38
13,7,15,2024-06-18 20:34:48,2024-06-18 20:34:48
14,7,16,2024-06-18 20:34:53,2024-06-18 20:34:53
15,7,17,2024-06-18 20:34:57,2024-06-18 20:34:57
16,7,18,2024-06-18 20:35:00,2024-06-18 20:35:00
17,8,15,2024-06-18 20:35:06,2024-06-18 20:35:06
18,8,16,2024-06-18 20:35:10,2024-06-18 20:35:10
19,8,17,2024-06-18 20:35:14,2024-06-18 20:35:14
20,8,18,2024-06-18 20:35:18,2024-06-18 20:35:18
21,8,19,2024-06-18 20:35:30,2024-06-18 20:35:30
22,8,20,2024-06-18 20:35:33,2024-06-18 20:35:33
23,8,21,2024-06-18 20:35:37,2024-06-18 20:35:37
24,8,23,2024-06-18 20:35:41,2024-06-18 20:35:41
25,13,24,2024-06-18 20:35:48,2024-06-18 20:35:48
26,13,25,2024-06-18 20:35:53,2024-06-18 20:35:53
27,13,26,2024-06-18 20:36:01,2024-06-18 20:36:01
28,13,27,2024-06-18 20:36:08,2024-06-18 20:36:08
29,9,28,2024-06-18 20:36:25,2024-06-18 20:36:25
30,9,29,2024-06-18 20:36:35,2024-06-18 20:36:35
31,10,30,2024-06-18 20:36:42,2024-06-18 20:36:42
32,9,31,2024-06-18 20:36:49,2024-06-18 20:36:49
33,2,32,2024-06-18 20:37:02,2024-06-18 20:37:02
35,14,37,2024-06-18 20:37:22,2024-06-18 20:37:22
36,14,38,2024-06-18 20:37:33,2024-06-18 20:37:33
37,14,39,2024-06-18 20:37:38,2024-06-18 20:37:38
39,14,40,2024-06-18 20:37:50,2024-06-18 20:37:50
40,15,42,2024-06-18 20:38:03,2024-06-18 20:38:03
41,15,43,2024-06-18 20:38:09,2024-06-18 20:38:09
43,15,45,2024-06-18 20:38:27,2024-06-18 20:38:27
44,15,44,2024-06-18 20:38:48,2024-06-18 20:38:48
45,10,46,2024-06-18 20:39:12,2024-06-18 20:39:12
46,10,47,2024-06-18 20:39:20,2024-06-18 20:39:20
47,10,48,2024-06-18 20:39:26,2024-06-18 20:39:26
49,10,49,2024-06-18 20:39:43,2024-06-18 20:39:43
50,16,50,2024-06-18 20:40:18,2024-06-18 20:40:18
51,16,51,2024-06-18 20:40:24,2024-06-18 20:40:24
52,16,52,2024-06-18 20:40:34,2024-06-18 20:40:34
53,16,53,2024-06-18 20:40:40,2024-06-18 20:40:40
54,17,56,2024-06-18 20:40:48,2024-06-18 20:40:48
55,17,57,2024-06-18 20:40:52,2024-06-18 20:40:52
56,17,58,2024-06-18 20:40:56,2024-06-18 20:40:56
58,17,59,2024-06-18 20:41:06,2024-06-18 20:41:06
59,12,60,2024-06-18 20:41:20,2024-06-18 20:41:20
60,12,61,2024-06-18 20:41:28,2024-06-18 20:41:28
61,12,62,2024-06-18 20:41:34,2024-06-18 20:41:34
62,12,64,2024-06-18 20:41:38,2024-06-18 20:41:38
64,4,65,2024-06-18 20:42:06,2024-06-18 20:42:06
65,10,66,2024-06-18 20:42:24,2024-06-18 20:42:24
66,10,67,2024-06-18 20:42:32,2024-06-18 20:42:32
67,11,68,2024-06-18 20:42:45,2024-06-18 20:42:45
68,3,69,2024-06-18 20:42:55,2024-06-18 20:42:55
69,7,70,2024-06-18 20:43:00,2024-06-18 20:43:00
70,6,71,2024-06-18 20:43:06,2024-06-18 20:43:06
71,6,72,2024-06-18 20:43:10,2024-06-18 20:43:10
72,11,73,2024-06-18 20:43:17,2024-06-18 20:43:17
73,11,74,2024-06-18 20:43:24,2024-06-18 20:43:24
74,2,75,2024-06-18 20:43:33,2024-06-18 20:43:33
75,12,76,2024-06-18 20:43:42,2024-06-18 20:43:42
76,15,77,2024-06-18 20:43:53,2024-06-18 20:43:53
77,17,79,2024-06-18 20:44:01,2024-06-18 20:44:01
78,3,80,2024-06-18 20:44:10,2024-06-18 20:44:10
79,18,81,2024-06-18 20:44:23,2024-06-18 20:44:23
80,12,82,2024-06-18 20:44:29,2024-06-18 20:44:29
81,19,83,2024-06-18 20:44:37,2024-06-18 20:44:37
82,18,84,2024-06-18 20:44:47,2024-06-18 20:44:47
83,8,85,2024-06-18 20:44:56,2024-06-18 20:44:56
84,20,86,2024-06-18 20:45:03,2024-06-18 20:45:03
